pitcher,pitcher_name,year,pitch_hand,n_pitches,team_id,ball_angle,relative_release_ball_x,release_ball_z,relative_shoulder_x,shoulder_z,role,games_started,games_relieved,total_pitches,total_pa,k_percent,bb_percent,whiff_percent,barrel_percent,hard_hit_percent,xwoba
502085,"Robertson, David",2022,R,1182,143,42,-1.432441626103265,5.786394565948635,0.1118784248878752,4.415631407611497,Reliever,0,58,1060,263,30.798479087452474,12.927756653992395,33.04904051172708,7.586206896551724,38.62068965517241,0.2732173091603053
596295,"Gomber, Austin",2022,L,2058,115,55,0.9351530946868968,6.63503861763472,-0.3912398824031774,4.719006943253485,Reliever,17,16,2059,531,17.890772128060263,6.214689265536723,21.924603174603174,8.542713567839195,35.92964824120603,0.32928567238095235
675911,"Strider, Spencer",2022,R,2328,144,46,-1.4441679319342706,5.692365995298998,-0.0195638878169199,4.236831630280981,Starter,20,11,2277,528,38.25757575757576,8.333333333333332,34.885764499121265,6.115107913669065,35.97122302158273,0.24233467741935483
622663,"Severino, Luis",2022,R,1808,147,43,-1.3934924061341365,5.997710781214113,0.1837292460326849,4.537997006767307,Starter,19,0,1639,406,27.339901477832512,7.389162561576355,27.791563275434246,6.94980694980695,41.312741312741316,0.26759043000000005
608328,"De Jong, Chase",2022,R,1174,134,51,-1.2196365977548471,6.17989621915373,0.1980559315471581,4.435035235433804,Reliever,0,42,1174,293,19.795221843003414,9.897610921501707,25.0,8.585858585858585,39.39393939393939,0.30608152068965516
689225,"Brieske, Beau",2022,R,1287,116,49,-1.1475583311935456,6.038119126255205,0.3760895401983635,4.29326563392045,Starter,15,0,1287,340,15.88235294117647,7.352941176470589,17.972350230414747,10.424710424710424,41.312741312741316,0.35955730860534124
656970,"Smeltzer, Devin",2022,L,1129,142,33,2.0951596632032072,5.883636040846658,0.2128778040131424,4.64196819602791,Starter,12,3,1129,287,13.937282229965156,6.620209059233449,18.525519848771268,7.048458149779736,39.20704845814978,0.3216363122807017
608331,"Fried, Max",2022,L,2878,144,50,1.396724264968208,6.0342143221176014,-0.1462316622258228,4.214899438824743,Starter,30,0,2818,734,23.160762942779293,4.087193460490464,25.875625446747673,3.984819734345351,32.06831119544592,0.2636507900552486
592716,"Sampson, Adrian",2022,R,1607,112,36,-2.087705548368803,5.744222726384226,-0.2530666462568509,4.420287432378624,Starter,19,2,1694,430,16.97674418604651,6.279069767441861,21.052631578947366,6.748466257668712,35.88957055214724,0.32446022014051523
663372,"Feltner, Ryan",2022,R,1675,115,35,-1.7880419534019232,5.234501327709434,-0.0152488463032431,3.9716573837763054,Starter,19,1,1675,428,19.39252336448598,8.177570093457943,20.69857697283312,8.25082508250825,42.57425742574257,0.3394592622950819
